MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20262203,Oisin Mullin,Geelong,1.1,2.6,2.2,3,9,7.84,4.2,1.3,3.1,4.1,47,66,84,11,7,18,50,377,82,5,7,4,17,0,5,4,1,1,7,1,2,0,0,81,5,5,0,0,0,0,0,0,0,0,0,3,0
20262203,Lawson Humphries,Geelong,0.8,4.4,-0.6,4.2,8.7,10.28,0.7,4.9,6.6,-2.5,87,78,79,15,8,23,65.2,255,279,1,5,1,12,4,8,7,5,5,9,6,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,2
20262203,Oliver Wiltshire,Geelong,3.9,0.5,1.6,2.6,8.6,6.86,1.6,3.9,3.5,3.7,60,38,75,5,7,12,91.7,151,284,1,2,3,9,0,5,5,3,3,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2
20262203,Hussien El Achkar,Essendon,2.2,1.4,3,1.3,7.9,6.69,0.2,5.4,2.9,1.9,37,32,64,2,2,4,75,61,38,1,0,3,14,0,3,2,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,5.5,0.5,0,1,1
20262203,Zach Guthrie,Geelong,2.9,2.3,1.3,1.1,7.6,7.37,0,6.6,2.7,2.4,58,33,81,7,3,10,90,212,93,3,1,0,5,0,3,2,3,2,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
20262203,Vigo Visentini,Essendon,0,1.3,4.6,1.4,7.3,5.97,3.2,2.9,4.5,0.6,84,100,77,11,7,18,61.1,234,201,4,0,2,8,0,8,1,2,1,4,3,4,1,0,88,2,6,75,33,8,1,0,0,0,0,1,3,2
20262203,Mason Redman,Essendon,0.6,0.9,4,1.6,7.1,10,0,7.6,4,3.2,49,37,92,8,2,10,80,255,280,0,2,0,7,1,4,3,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20262203,James Worpel,Geelong,2.4,0.3,1.9,2.3,7,9.57,-0.7,4.2,3.8,0.1,74,91,75,11,8,19,52.6,266,183,2,5,9,24,0,5,3,2,2,9,3,3,1,0,65,3,5,0,0,0,2,0,0,3.5,-3.5,1,6,1
20262203,Archie Roberts,Essendon,0,7.8,1.1,-1.9,6.9,8.65,-1,4.1,2.9,0.9,71,68,87,13,3,16,75,381,75,3,5,3,9,4,4,1,3,1,3,5,2,0,0,0,2,1,0,0,0,1,1,0,2.3,3.7,0,2,1
20262203,Will Setterfield,Essendon,3.4,-0.1,0.9,2.5,6.7,8.69,2.1,-0.2,4.6,-2.6,67,63,75,5,12,17,58.8,168,108,3,2,5,26,0,9,6,1,0,6,0,1,0,0,77,2,6,0,0,0,0,0,0,0,0,0,2,0
20262203,Jye Caldwell,Essendon,1,1.2,1.4,2.9,6.5,8.22,1.5,3,5.3,-1,75,79,61,11,4,15,40,304,35,2,5,9,28,0,8,6,4,4,7,3,0,0,0,58,3,2,0,0,0,1,0,1,3.8,-2.8,0,3,0
20262203,Gryan Miers,Geelong,7,1,0.7,-2.3,6.4,10.28,1.2,2.2,4.3,0.4,63,33,77,5,4,9,77.8,108,125,1,1,0,9,0,5,5,4,4,2,1,3,0,0,0,1,1,0,0,0,1,0,1,3.4,-2.4,2,5,1
20262203,Connor O'Sullivan,Geelong,1.5,3.6,-0.1,1.2,6.3,9.73,0,6.6,4.4,1.5,55,45,82,6,4,10,90,190,88,0,2,2,8,0,5,3,5,3,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20262203,Max Kondogiannis,Essendon,1.3,4.3,-0.5,1.1,6.2,4.19,2.7,2.1,3.8,-0.6,45,41,74,5,2,7,71.4,164,128,0,2,3,14,0,4,3,1,1,2,1,4,1,0,0,1,2,0,0,0,1,0,0,3,-3,0,1,0
20262203,Jacob Farrow,Essendon,1.6,1.5,2.4,0.3,5.8,6.05,-0.6,3.8,2.1,1.5,71,73,74,10,4,14,71.4,280,44,3,4,5,11,0,3,2,2,2,8,1,2,0,0,0,0,1,0,0,0,2,2,0,10.5,1.5,0,4,1
20262203,Andrew McGrath,Essendon,1.4,1.5,0.6,2.1,5.6,9.56,4.9,0.1,7.7,-2.1,89,71,78,9,10,19,68.4,276,111,3,4,4,19,0,9,8,4,3,7,5,3,1,0,8,4,4,0,0,0,1,0,1,2.1,-1.1,0,3,1
20262203,Sam Durham,Essendon,2.3,0.8,1.3,0.8,5.3,12.23,0.2,4.4,4.5,1.6,67,51,75,9,4,13,61.5,201,78,2,3,3,13,0,6,5,4,4,4,0,3,0,0,0,1,2,0,0,0,1,0,1,2.7,-1.7,1,6,0
20262203,Archer Day-Wicks,Essendon,2,-1.2,1.8,2.6,5.3,5.13,1.2,2.5,3.9,-1,31,25,74,3,7,10,60,137,78,1,6,2,12,0,5,4,4,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
20262203,Jack Henry,Geelong,2.5,2.9,-2,2,5.3,7.29,0,5.7,3.1,0.9,90,75,81,15,2,17,64.7,384,111,3,4,2,3,0,4,4,3,3,2,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
20262203,Zak Johnson,Essendon,1.5,2.5,0.7,0.2,4.9,5.7,0,3.5,3,0.6,43,25,77,4,4,8,75,138,-3,2,2,1,11,0,3,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
