Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Ben Long	GCS	1	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	-	0%	-	0%	0%	3%	0%	0%	-	0%	0%	0%	0%	0%	0%
Bailey Smith	GEE	513	78%	-	42%	79%	-	82%	86%	84%	81%	89%	37%	77%	84%	93%	82%	88%	81%	-	-	78%	88%	67%	83%	79%	77%	77%	76%
Rhys Stanley	GEE	21	70%	-	-	-	-	-	-	-	-	-	-	70%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tom Atkins	GEE	468	65%	82%	73%	68%	-	77%	72%	78%	65%	63%	74%	40%	31%	54%	50%	72%	78%	78%	-	64%	27%	73%	77%	71%	69%	44%	70%
Mitchell Edwards	GEE	383	65%	39%	-	65%	-	50%	69%	50%	68%	67%	66%	-	75%	57%	57%	-	74%	56%	-	78%	-	60%	63%	86%	-	77%	76%
James Worpel	GEE	214	57%	64%	58%	-	-	-	-	72%	65%	22%	57%	60%	-	-	-	-	-	-	-	-	-	70%	51%	64%	65%	41%	-
Oisin Mullin	GEE	367	50%	0%	6%	15%	-	0%	0%	0%	58%	93%	54%	87%	69%	61%	71%	44%	81%	19%	-	67%	31%	57%	71%	75%	81%	87%	73%
Max Holmes	GEE	267	47%	50%	58%	82%	-	73%	86%	0%	19%	33%	37%	30%	38%	61%	68%	16%	11%	66%	-	69%	81%	20%	-	-	-	-	-
George Stevens	GEE	39	44%	43%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37%	53%	-	-	-	-	-	-	-	-	-
Sam De Koning	GEE	161	28%	36%	15%	0%	-	0%	0%	50%	0%	-	34%	30%	3%	39%	14%	80%	22%	41%	-	22%	50%	40%	-	-	65%	-	12%
Mark Blicavs	GEE	111	19%	11%	85%	35%	-	50%	31%	-	32%	7%	-	-	0%	0%	0%	0%	0%	6%	-	0%	19%	-	23%	14%	31%	23%	-
